title,date
"The Good Place: Season 4: A Girl From Arizona - Part 1","3/3/21"
"The Good Place: Season 3: Pandemonium","3/3/21"
"The Good Place: Season 3: Chidi Sees the Time-Knife","3/3/21"
"The Good Place: Season 3: The Book of Dougs","3/3/21"
"The Good Place: Season 3: Janet(s)","3/3/21"
"The Good Place: Season 3: Don't Let the Good Life Pass You By","3/3/21"
"The Good Place: Season 3: The Worst Possible Use of Free Will","3/3/21"
"The Good Place: Season 3: A Fractured Inheritance","3/3/21"
"The Good Place: Season 3: The Ballad of Donkey Doug","3/3/21"
"The Good Place: Season 3: Jeremy Bearimy","3/2/21"
"The Good Place: Season 3: The Snowplow","3/2/21"
"The Good Place: Season 3: The Brainy Bunch","3/2/21"
"The Good Place: Season 3: Everything is Bonzer","3/2/21"
"The Good Place: Season 2: Somewhere Else","3/2/21"
"The Good Place: Season 2: The Burrito","3/2/21"
"The Good Place: Season 2: Rhonda, Diana, Jake, and Trent","3/2/21"
"The Good Place: Season 2: Best Self","3/2/21"
"The Good Place: Season 2: Leap to Faith","3/2/21"
"The Good Place: Season 2: Derek","3/2/21"
"The Good Place: Season 2: Janet and Michael","3/2/21"
"The Good Place: Season 2: The Trolley Problem","3/2/21"
"The Good Place: Season 2: Existential Crisis","3/2/21"
"The Good Place: Season 2: Team Cockroach","3/2/21"
"The Good Place: Season 2: Dance Dance Resolution","3/2/21"
"The Good Place: Season 2: Everything Is Great!","3/2/21"
"The Good Place: Season 1: Michael's Gambit","3/2/21"
"The Good Place: Season 1: Mindy St. Claire","3/2/21"
"The Good Place: Season 1: What's My Motivation","3/2/21"
"The Good Place: Season 1: Chidi's Choice","3/2/21"
"The Good Place: Season 1: ...Someone Like Me as a Member","3/2/21"
"The Good Place: Season 1: Most Improved Player","3/2/21"
"The Good Place: Season 1: The Eternal Shriek","3/2/21"
"The Good Place: Season 1: What We Owe to Each Other","3/2/21"
"The Good Place: Season 1: Category 55 Emergency Doomsday Crisis","3/2/21"
"The Good Place: Season 1: Jason Mendoza","3/1/21"
"The Good Place: Season 1: Tahani Al-Jamil","3/1/21"
"The Good Place: Season 1: Flying","3/1/21"
"The Good Place: Season 1: Everything Is Fine","3/1/21"
"I Care a Lot","2/28/21"
"BONDING: Season 1: Penguins","2/14/21"
"BONDING: Season 1: Double Date","2/14/21"
"BONDING: Season 1: Let's Get Physical","2/14/21"
"BONDING: Season 1: The Past Is Not Always Behind","2/14/21"
"BONDING: Season 1: Pete Shy","2/13/21"
"BONDING: Season 1: Old Friends, New Names","2/13/21"
"Firefly Lane: Season 1: Hello Yellow Brick Road","2/3/21"
"The Dig","1/31/21"
"13TH","1/31/21"
"Night on Earth: Limited Series: Moonlit Plains","1/18/21"
"Night Stalker: The Hunt for a Serial Killer: Limited Series: Devil in the City of Angels","1/18/21"
"Explained: Season 2: Diamonds","1/18/21"
"Headspace Guide to Meditation: Season 1: How to Deal with Stress","1/18/21"
"100 Humans: Season 1: What Makes Us Attractive?","1/18/21"
"Headspace Guide to Meditation: Season 1: How to Fall in Love with Life","1/17/21"
"Headspace Guide to Meditation: Season 1: How to Let Go","1/17/21"
"Headspace Guide to Meditation: Season 1: How to Get Started","1/16/21"
"The Mind, Explained: Season 1: Dreams","1/14/21"
"The Mind, Explained: Season 1: Memory","1/14/21"
"Have a Good Trip: Adventures in Psychedelics","1/10/21"
"Surviving Death: Season 1: Mediums: Part 1","1/9/21"
"Surviving Death: Season 1: Near-Death Experiences","1/9/21"
"The Social Dilemma","1/8/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Six: At the Mountains of Madness","1/2/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Five: The Endless","1/2/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Four: The Returned","1/2/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Three: Deus Ex Machina","1/2/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Two: The Imp of the Perverse","1/2/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-One: The Weird","1/1/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty: The Uninvited","1/1/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Twenty-Nine: The Eldritch Dark","1/1/21"
"Ozark: Season 1: Sugarwood","12/31/20"
"Death to 2020","12/28/20"
"The Umbrella Academy: Season 2: The End of Something","12/14/20"
"The Umbrella Academy: Season 2: 743","12/14/20"
"The Umbrella Academy: Season 2: The Seven Stages","12/14/20"
"The Umbrella Academy: Season 2: Öga for Öga","12/14/20"
"The Umbrella Academy: Season 2: A Light Supper","12/14/20"
"The Umbrella Academy: Season 2: Valhalla","12/14/20"
"The Umbrella Academy: Season 2: The Majestic 12","12/13/20"
